[     671ms] [INFO] %cDownload the React DevTools for a better development experience: https://react.dev/link/react-devtools font-weight:bold @ http://localhost:8081/node_modules/expo-router/entry.bundle?platform=web&dev=true&hot=false&lazy=true&transform.routerRoot=app:17348
[     707ms] [LOG] Running application "main" with appParams:
 {rootTag: #root, hydrate: undefined} 
Development-level warnings: ON.
Performance optimizations: OFF. @ http://localhost:8081/node_modules/expo-router/entry.bundle?platform=web&dev=true&hot=false&lazy=true&transform.routerRoot=app:40281
[     761ms] [WARNING] [expo-av]: Expo AV has been deprecated and will be removed in SDK 54. Use the `expo-audio` and `expo-video` packages to replace the required functionality. @ http://localhost:8081/node_modules/expo-router/entry.bundle?platform=web&dev=true&hot=false&lazy=true&transform.routerRoot=app:199208
[     825ms] [WARNING] props.pointerEvents is deprecated. Use style.pointerEvents @ http://localhost:8081/node_modules/expo-router/entry.bundle?platform=web&dev=true&hot=false&lazy=true&transform.routerRoot=app:23886
[   32807ms] [VERBOSE] [DOM] Password field is not contained in a form: (More info: https://goo.gl/9p2vKq) %o @ http://localhost:8081/login:0
[ 1387726ms] [ERROR] Failed to load resource: the server responded with a status of 400 () @ https://zqubwvhstobaugifzoyb.supabase.co/rest/v1/orders?select=id%2Cdisplay_code%2Ccustomer_name%2Ccustomer_phone%2Ctotal_amount%2Corder_type%2Cdelivery_address%2Ctable_number%2Ccreated_at&company_id=eq.00000000-0000-0000-0000-000000000001&status=eq.pending&order=created_at.asc&limit=20:0
[ 1397661ms] [ERROR] Failed to load resource: the server responded with a status of 400 () @ https://zqubwvhstobaugifzoyb.supabase.co/rest/v1/orders?select=id%2Cdisplay_code%2Ccustomer_name%2Ccustomer_phone%2Ctotal_amount%2Corder_type%2Cdelivery_address%2Ctable_number%2Ccreated_at&company_id=eq.00000000-0000-0000-0000-000000000001&status=eq.pending&order=created_at.asc&limit=20:0
[ 1407649ms] [ERROR] Failed to load resource: the server responded with a status of 400 () @ https://zqubwvhstobaugifzoyb.supabase.co/rest/v1/orders?select=id%2Cdisplay_code%2Ccustomer_name%2Ccustomer_phone%2Ctotal_amount%2Corder_type%2Cdelivery_address%2Ctable_number%2Ccreated_at&company_id=eq.00000000-0000-0000-0000-000000000001&status=eq.pending&order=created_at.asc&limit=20:0
[ 1417752ms] [ERROR] Failed to load resource: the server responded with a status of 400 () @ https://zqubwvhstobaugifzoyb.supabase.co/rest/v1/orders?select=id%2Cdisplay_code%2Ccustomer_name%2Ccustomer_phone%2Ctotal_amount%2Corder_type%2Cdelivery_address%2Ctable_number%2Ccreated_at&company_id=eq.00000000-0000-0000-0000-000000000001&status=eq.pending&order=created_at.asc&limit=20:0
[ 1427653ms] [ERROR] Failed to load resource: the server responded with a status of 400 () @ https://zqubwvhstobaugifzoyb.supabase.co/rest/v1/orders?select=id%2Cdisplay_code%2Ccustomer_name%2Ccustomer_phone%2Ctotal_amount%2Corder_type%2Cdelivery_address%2Ctable_number%2Ccreated_at&company_id=eq.00000000-0000-0000-0000-000000000001&status=eq.pending&order=created_at.asc&limit=20:0
[ 1437652ms] [ERROR] Failed to load resource: the server responded with a status of 400 () @ https://zqubwvhstobaugifzoyb.supabase.co/rest/v1/orders?select=id%2Cdisplay_code%2Ccustomer_name%2Ccustomer_phone%2Ctotal_amount%2Corder_type%2Cdelivery_address%2Ctable_number%2Ccreated_at&company_id=eq.00000000-0000-0000-0000-000000000001&status=eq.pending&order=created_at.asc&limit=20:0
[ 1447662ms] [ERROR] Failed to load resource: the server responded with a status of 400 () @ https://zqubwvhstobaugifzoyb.supabase.co/rest/v1/orders?select=id%2Cdisplay_code%2Ccustomer_name%2Ccustomer_phone%2Ctotal_amount%2Corder_type%2Cdelivery_address%2Ctable_number%2Ccreated_at&company_id=eq.00000000-0000-0000-0000-000000000001&status=eq.pending&order=created_at.asc&limit=20:0
[ 1457664ms] [ERROR] Failed to load resource: the server responded with a status of 400 () @ https://zqubwvhstobaugifzoyb.supabase.co/rest/v1/orders?select=id%2Cdisplay_code%2Ccustomer_name%2Ccustomer_phone%2Ctotal_amount%2Corder_type%2Cdelivery_address%2Ctable_number%2Ccreated_at&company_id=eq.00000000-0000-0000-0000-000000000001&status=eq.pending&order=created_at.asc&limit=20:0
[ 1467641ms] [ERROR] Failed to load resource: the server responded with a status of 400 () @ https://zqubwvhstobaugifzoyb.supabase.co/rest/v1/orders?select=id%2Cdisplay_code%2Ccustomer_name%2Ccustomer_phone%2Ctotal_amount%2Corder_type%2Cdelivery_address%2Ctable_number%2Ccreated_at&company_id=eq.00000000-0000-0000-0000-000000000001&status=eq.pending&order=created_at.asc&limit=20:0
[ 1477701ms] [ERROR] Failed to load resource: the server responded with a status of 400 () @ https://zqubwvhstobaugifzoyb.supabase.co/rest/v1/orders?select=id%2Cdisplay_code%2Ccustomer_name%2Ccustomer_phone%2Ctotal_amount%2Corder_type%2Cdelivery_address%2Ctable_number%2Ccreated_at&company_id=eq.00000000-0000-0000-0000-000000000001&status=eq.pending&order=created_at.asc&limit=20:0
[ 1487894ms] [ERROR] Failed to load resource: the server responded with a status of 400 () @ https://zqubwvhstobaugifzoyb.supabase.co/rest/v1/orders?select=id%2Cdisplay_code%2Ccustomer_name%2Ccustomer_phone%2Ctotal_amount%2Corder_type%2Cdelivery_address%2Ctable_number%2Ccreated_at&company_id=eq.00000000-0000-0000-0000-000000000001&status=eq.pending&order=created_at.asc&limit=20:0
[ 1497682ms] [ERROR] Failed to load resource: the server responded with a status of 400 () @ https://zqubwvhstobaugifzoyb.supabase.co/rest/v1/orders?select=id%2Cdisplay_code%2Ccustomer_name%2Ccustomer_phone%2Ctotal_amount%2Corder_type%2Cdelivery_address%2Ctable_number%2Ccreated_at&company_id=eq.00000000-0000-0000-0000-000000000001&status=eq.pending&order=created_at.asc&limit=20:0
[ 1507723ms] [ERROR] Failed to load resource: the server responded with a status of 400 () @ https://zqubwvhstobaugifzoyb.supabase.co/rest/v1/orders?select=id%2Cdisplay_code%2Ccustomer_name%2Ccustomer_phone%2Ctotal_amount%2Corder_type%2Cdelivery_address%2Ctable_number%2Ccreated_at&company_id=eq.00000000-0000-0000-0000-000000000001&status=eq.pending&order=created_at.asc&limit=20:0
[ 1517895ms] [ERROR] Failed to load resource: the server responded with a status of 400 () @ https://zqubwvhstobaugifzoyb.supabase.co/rest/v1/orders?select=id%2Cdisplay_code%2Ccustomer_name%2Ccustomer_phone%2Ctotal_amount%2Corder_type%2Cdelivery_address%2Ctable_number%2Ccreated_at&company_id=eq.00000000-0000-0000-0000-000000000001&status=eq.pending&order=created_at.asc&limit=20:0
[ 1527644ms] [ERROR] Failed to load resource: the server responded with a status of 400 () @ https://zqubwvhstobaugifzoyb.supabase.co/rest/v1/orders?select=id%2Cdisplay_code%2Ccustomer_name%2Ccustomer_phone%2Ctotal_amount%2Corder_type%2Cdelivery_address%2Ctable_number%2Ccreated_at&company_id=eq.00000000-0000-0000-0000-000000000001&status=eq.pending&order=created_at.asc&limit=20:0
[ 1537694ms] [ERROR] Failed to load resource: the server responded with a status of 400 () @ https://zqubwvhstobaugifzoyb.supabase.co/rest/v1/orders?select=id%2Cdisplay_code%2Ccustomer_name%2Ccustomer_phone%2Ctotal_amount%2Corder_type%2Cdelivery_address%2Ctable_number%2Ccreated_at&company_id=eq.00000000-0000-0000-0000-000000000001&status=eq.pending&order=created_at.asc&limit=20:0
[ 1547708ms] [ERROR] Failed to load resource: the server responded with a status of 400 () @ https://zqubwvhstobaugifzoyb.supabase.co/rest/v1/orders?select=id%2Cdisplay_code%2Ccustomer_name%2Ccustomer_phone%2Ctotal_amount%2Corder_type%2Cdelivery_address%2Ctable_number%2Ccreated_at&company_id=eq.00000000-0000-0000-0000-000000000001&status=eq.pending&order=created_at.asc&limit=20:0
[ 1557651ms] [ERROR] Failed to load resource: the server responded with a status of 400 () @ https://zqubwvhstobaugifzoyb.supabase.co/rest/v1/orders?select=id%2Cdisplay_code%2Ccustomer_name%2Ccustomer_phone%2Ctotal_amount%2Corder_type%2Cdelivery_address%2Ctable_number%2Ccreated_at&company_id=eq.00000000-0000-0000-0000-000000000001&status=eq.pending&order=created_at.asc&limit=20:0
[ 1567641ms] [ERROR] Failed to load resource: the server responded with a status of 400 () @ https://zqubwvhstobaugifzoyb.supabase.co/rest/v1/orders?select=id%2Cdisplay_code%2Ccustomer_name%2Ccustomer_phone%2Ctotal_amount%2Corder_type%2Cdelivery_address%2Ctable_number%2Ccreated_at&company_id=eq.00000000-0000-0000-0000-000000000001&status=eq.pending&order=created_at.asc&limit=20:0
[ 1577747ms] [ERROR] Failed to load resource: the server responded with a status of 400 () @ https://zqubwvhstobaugifzoyb.supabase.co/rest/v1/orders?select=id%2Cdisplay_code%2Ccustomer_name%2Ccustomer_phone%2Ctotal_amount%2Corder_type%2Cdelivery_address%2Ctable_number%2Ccreated_at&company_id=eq.00000000-0000-0000-0000-000000000001&status=eq.pending&order=created_at.asc&limit=20:0
[ 1587653ms] [ERROR] Failed to load resource: the server responded with a status of 400 () @ https://zqubwvhstobaugifzoyb.supabase.co/rest/v1/orders?select=id%2Cdisplay_code%2Ccustomer_name%2Ccustomer_phone%2Ctotal_amount%2Corder_type%2Cdelivery_address%2Ctable_number%2Ccreated_at&company_id=eq.00000000-0000-0000-0000-000000000001&status=eq.pending&order=created_at.asc&limit=20:0
[ 1597932ms] [ERROR] Failed to load resource: the server responded with a status of 400 () @ https://zqubwvhstobaugifzoyb.supabase.co/rest/v1/orders?select=id%2Cdisplay_code%2Ccustomer_name%2Ccustomer_phone%2Ctotal_amount%2Corder_type%2Cdelivery_address%2Ctable_number%2Ccreated_at&company_id=eq.00000000-0000-0000-0000-000000000001&status=eq.pending&order=created_at.asc&limit=20:0
[ 1607905ms] [ERROR] Failed to load resource: the server responded with a status of 400 () @ https://zqubwvhstobaugifzoyb.supabase.co/rest/v1/orders?select=id%2Cdisplay_code%2Ccustomer_name%2Ccustomer_phone%2Ctotal_amount%2Corder_type%2Cdelivery_address%2Ctable_number%2Ccreated_at&company_id=eq.00000000-0000-0000-0000-000000000001&status=eq.pending&order=created_at.asc&limit=20:0
[ 1617661ms] [ERROR] Failed to load resource: the server responded with a status of 400 () @ https://zqubwvhstobaugifzoyb.supabase.co/rest/v1/orders?select=id%2Cdisplay_code%2Ccustomer_name%2Ccustomer_phone%2Ctotal_amount%2Corder_type%2Cdelivery_address%2Ctable_number%2Ccreated_at&company_id=eq.00000000-0000-0000-0000-000000000001&status=eq.pending&order=created_at.asc&limit=20:0
[ 1627755ms] [ERROR] Failed to load resource: the server responded with a status of 400 () @ https://zqubwvhstobaugifzoyb.supabase.co/rest/v1/orders?select=id%2Cdisplay_code%2Ccustomer_name%2Ccustomer_phone%2Ctotal_amount%2Corder_type%2Cdelivery_address%2Ctable_number%2Ccreated_at&company_id=eq.00000000-0000-0000-0000-000000000001&status=eq.pending&order=created_at.asc&limit=20:0
[ 1637643ms] [ERROR] Failed to load resource: the server responded with a status of 400 () @ https://zqubwvhstobaugifzoyb.supabase.co/rest/v1/orders?select=id%2Cdisplay_code%2Ccustomer_name%2Ccustomer_phone%2Ctotal_amount%2Corder_type%2Cdelivery_address%2Ctable_number%2Ccreated_at&company_id=eq.00000000-0000-0000-0000-000000000001&status=eq.pending&order=created_at.asc&limit=20:0
[ 1647708ms] [ERROR] Failed to load resource: the server responded with a status of 400 () @ https://zqubwvhstobaugifzoyb.supabase.co/rest/v1/orders?select=id%2Cdisplay_code%2Ccustomer_name%2Ccustomer_phone%2Ctotal_amount%2Corder_type%2Cdelivery_address%2Ctable_number%2Ccreated_at&company_id=eq.00000000-0000-0000-0000-000000000001&status=eq.pending&order=created_at.asc&limit=20:0
[ 1657654ms] [ERROR] Failed to load resource: the server responded with a status of 400 () @ https://zqubwvhstobaugifzoyb.supabase.co/rest/v1/orders?select=id%2Cdisplay_code%2Ccustomer_name%2Ccustomer_phone%2Ctotal_amount%2Corder_type%2Cdelivery_address%2Ctable_number%2Ccreated_at&company_id=eq.00000000-0000-0000-0000-000000000001&status=eq.pending&order=created_at.asc&limit=20:0
[ 1667654ms] [ERROR] Failed to load resource: the server responded with a status of 400 () @ https://zqubwvhstobaugifzoyb.supabase.co/rest/v1/orders?select=id%2Cdisplay_code%2Ccustomer_name%2Ccustomer_phone%2Ctotal_amount%2Corder_type%2Cdelivery_address%2Ctable_number%2Ccreated_at&company_id=eq.00000000-0000-0000-0000-000000000001&status=eq.pending&order=created_at.asc&limit=20:0
[ 1677645ms] [ERROR] Failed to load resource: the server responded with a status of 400 () @ https://zqubwvhstobaugifzoyb.supabase.co/rest/v1/orders?select=id%2Cdisplay_code%2Ccustomer_name%2Ccustomer_phone%2Ctotal_amount%2Corder_type%2Cdelivery_address%2Ctable_number%2Ccreated_at&company_id=eq.00000000-0000-0000-0000-000000000001&status=eq.pending&order=created_at.asc&limit=20:0
[ 1687833ms] [ERROR] Failed to load resource: the server responded with a status of 400 () @ https://zqubwvhstobaugifzoyb.supabase.co/rest/v1/orders?select=id%2Cdisplay_code%2Ccustomer_name%2Ccustomer_phone%2Ctotal_amount%2Corder_type%2Cdelivery_address%2Ctable_number%2Ccreated_at&company_id=eq.00000000-0000-0000-0000-000000000001&status=eq.pending&order=created_at.asc&limit=20:0
[ 1697683ms] [ERROR] Failed to load resource: the server responded with a status of 400 () @ https://zqubwvhstobaugifzoyb.supabase.co/rest/v1/orders?select=id%2Cdisplay_code%2Ccustomer_name%2Ccustomer_phone%2Ctotal_amount%2Corder_type%2Cdelivery_address%2Ctable_number%2Ccreated_at&company_id=eq.00000000-0000-0000-0000-000000000001&status=eq.pending&order=created_at.asc&limit=20:0
[ 1707664ms] [ERROR] Failed to load resource: the server responded with a status of 400 () @ https://zqubwvhstobaugifzoyb.supabase.co/rest/v1/orders?select=id%2Cdisplay_code%2Ccustomer_name%2Ccustomer_phone%2Ctotal_amount%2Corder_type%2Cdelivery_address%2Ctable_number%2Ccreated_at&company_id=eq.00000000-0000-0000-0000-000000000001&status=eq.pending&order=created_at.asc&limit=20:0
[ 1717644ms] [ERROR] Failed to load resource: the server responded with a status of 400 () @ https://zqubwvhstobaugifzoyb.supabase.co/rest/v1/orders?select=id%2Cdisplay_code%2Ccustomer_name%2Ccustomer_phone%2Ctotal_amount%2Corder_type%2Cdelivery_address%2Ctable_number%2Ccreated_at&company_id=eq.00000000-0000-0000-0000-000000000001&status=eq.pending&order=created_at.asc&limit=20:0
[ 1727907ms] [ERROR] Failed to load resource: the server responded with a status of 400 () @ https://zqubwvhstobaugifzoyb.supabase.co/rest/v1/orders?select=id%2Cdisplay_code%2Ccustomer_name%2Ccustomer_phone%2Ctotal_amount%2Corder_type%2Cdelivery_address%2Ctable_number%2Ccreated_at&company_id=eq.00000000-0000-0000-0000-000000000001&status=eq.pending&order=created_at.asc&limit=20:0
[ 1737656ms] [ERROR] Failed to load resource: the server responded with a status of 400 () @ https://zqubwvhstobaugifzoyb.supabase.co/rest/v1/orders?select=id%2Cdisplay_code%2Ccustomer_name%2Ccustomer_phone%2Ctotal_amount%2Corder_type%2Cdelivery_address%2Ctable_number%2Ccreated_at&company_id=eq.00000000-0000-0000-0000-000000000001&status=eq.pending&order=created_at.asc&limit=20:0
[ 1747892ms] [ERROR] Failed to load resource: the server responded with a status of 400 () @ https://zqubwvhstobaugifzoyb.supabase.co/rest/v1/orders?select=id%2Cdisplay_code%2Ccustomer_name%2Ccustomer_phone%2Ctotal_amount%2Corder_type%2Cdelivery_address%2Ctable_number%2Ccreated_at&company_id=eq.00000000-0000-0000-0000-000000000001&status=eq.pending&order=created_at.asc&limit=20:0
[ 1757646ms] [ERROR] Failed to load resource: the server responded with a status of 400 () @ https://zqubwvhstobaugifzoyb.supabase.co/rest/v1/orders?select=id%2Cdisplay_code%2Ccustomer_name%2Ccustomer_phone%2Ctotal_amount%2Corder_type%2Cdelivery_address%2Ctable_number%2Ccreated_at&company_id=eq.00000000-0000-0000-0000-000000000001&status=eq.pending&order=created_at.asc&limit=20:0
[ 1767648ms] [ERROR] Failed to load resource: the server responded with a status of 400 () @ https://zqubwvhstobaugifzoyb.supabase.co/rest/v1/orders?select=id%2Cdisplay_code%2Ccustomer_name%2Ccustomer_phone%2Ctotal_amount%2Corder_type%2Cdelivery_address%2Ctable_number%2Ccreated_at&company_id=eq.00000000-0000-0000-0000-000000000001&status=eq.pending&order=created_at.asc&limit=20:0
[ 1777699ms] [ERROR] Failed to load resource: the server responded with a status of 400 () @ https://zqubwvhstobaugifzoyb.supabase.co/rest/v1/orders?select=id%2Cdisplay_code%2Ccustomer_name%2Ccustomer_phone%2Ctotal_amount%2Corder_type%2Cdelivery_address%2Ctable_number%2Ccreated_at&company_id=eq.00000000-0000-0000-0000-000000000001&status=eq.pending&order=created_at.asc&limit=20:0
[ 1787639ms] [ERROR] Failed to load resource: the server responded with a status of 400 () @ https://zqubwvhstobaugifzoyb.supabase.co/rest/v1/orders?select=id%2Cdisplay_code%2Ccustomer_name%2Ccustomer_phone%2Ctotal_amount%2Corder_type%2Cdelivery_address%2Ctable_number%2Ccreated_at&company_id=eq.00000000-0000-0000-0000-000000000001&status=eq.pending&order=created_at.asc&limit=20:0
[ 1797648ms] [ERROR] Failed to load resource: the server responded with a status of 400 () @ https://zqubwvhstobaugifzoyb.supabase.co/rest/v1/orders?select=id%2Cdisplay_code%2Ccustomer_name%2Ccustomer_phone%2Ctotal_amount%2Corder_type%2Cdelivery_address%2Ctable_number%2Ccreated_at&company_id=eq.00000000-0000-0000-0000-000000000001&status=eq.pending&order=created_at.asc&limit=20:0
[ 1807731ms] [ERROR] Failed to load resource: the server responded with a status of 400 () @ https://zqubwvhstobaugifzoyb.supabase.co/rest/v1/orders?select=id%2Cdisplay_code%2Ccustomer_name%2Ccustomer_phone%2Ctotal_amount%2Corder_type%2Cdelivery_address%2Ctable_number%2Ccreated_at&company_id=eq.00000000-0000-0000-0000-000000000001&status=eq.pending&order=created_at.asc&limit=20:0
[ 1817762ms] [ERROR] Failed to load resource: the server responded with a status of 400 () @ https://zqubwvhstobaugifzoyb.supabase.co/rest/v1/orders?select=id%2Cdisplay_code%2Ccustomer_name%2Ccustomer_phone%2Ctotal_amount%2Corder_type%2Cdelivery_address%2Ctable_number%2Ccreated_at&company_id=eq.00000000-0000-0000-0000-000000000001&status=eq.pending&order=created_at.asc&limit=20:0
[ 1827643ms] [ERROR] Failed to load resource: the server responded with a status of 400 () @ https://zqubwvhstobaugifzoyb.supabase.co/rest/v1/orders?select=id%2Cdisplay_code%2Ccustomer_name%2Ccustomer_phone%2Ctotal_amount%2Corder_type%2Cdelivery_address%2Ctable_number%2Ccreated_at&company_id=eq.00000000-0000-0000-0000-000000000001&status=eq.pending&order=created_at.asc&limit=20:0
[ 1837775ms] [ERROR] Failed to load resource: the server responded with a status of 400 () @ https://zqubwvhstobaugifzoyb.supabase.co/rest/v1/orders?select=id%2Cdisplay_code%2Ccustomer_name%2Ccustomer_phone%2Ctotal_amount%2Corder_type%2Cdelivery_address%2Ctable_number%2Ccreated_at&company_id=eq.00000000-0000-0000-0000-000000000001&status=eq.pending&order=created_at.asc&limit=20:0
[ 1847707ms] [ERROR] Failed to load resource: the server responded with a status of 400 () @ https://zqubwvhstobaugifzoyb.supabase.co/rest/v1/orders?select=id%2Cdisplay_code%2Ccustomer_name%2Ccustomer_phone%2Ctotal_amount%2Corder_type%2Cdelivery_address%2Ctable_number%2Ccreated_at&company_id=eq.00000000-0000-0000-0000-000000000001&status=eq.pending&order=created_at.asc&limit=20:0
[ 1857663ms] [ERROR] Failed to load resource: the server responded with a status of 400 () @ https://zqubwvhstobaugifzoyb.supabase.co/rest/v1/orders?select=id%2Cdisplay_code%2Ccustomer_name%2Ccustomer_phone%2Ctotal_amount%2Corder_type%2Cdelivery_address%2Ctable_number%2Ccreated_at&company_id=eq.00000000-0000-0000-0000-000000000001&status=eq.pending&order=created_at.asc&limit=20:0
[ 1867899ms] [ERROR] Failed to load resource: the server responded with a status of 400 () @ https://zqubwvhstobaugifzoyb.supabase.co/rest/v1/orders?select=id%2Cdisplay_code%2Ccustomer_name%2Ccustomer_phone%2Ctotal_amount%2Corder_type%2Cdelivery_address%2Ctable_number%2Ccreated_at&company_id=eq.00000000-0000-0000-0000-000000000001&status=eq.pending&order=created_at.asc&limit=20:0
[ 1877667ms] [ERROR] Failed to load resource: the server responded with a status of 400 () @ https://zqubwvhstobaugifzoyb.supabase.co/rest/v1/orders?select=id%2Cdisplay_code%2Ccustomer_name%2Ccustomer_phone%2Ctotal_amount%2Corder_type%2Cdelivery_address%2Ctable_number%2Ccreated_at&company_id=eq.00000000-0000-0000-0000-000000000001&status=eq.pending&order=created_at.asc&limit=20:0
[ 1887869ms] [ERROR] Failed to load resource: the server responded with a status of 400 () @ https://zqubwvhstobaugifzoyb.supabase.co/rest/v1/orders?select=id%2Cdisplay_code%2Ccustomer_name%2Ccustomer_phone%2Ctotal_amount%2Corder_type%2Cdelivery_address%2Ctable_number%2Ccreated_at&company_id=eq.00000000-0000-0000-0000-000000000001&status=eq.pending&order=created_at.asc&limit=20:0
[ 1897923ms] [ERROR] Failed to load resource: the server responded with a status of 400 () @ https://zqubwvhstobaugifzoyb.supabase.co/rest/v1/orders?select=id%2Cdisplay_code%2Ccustomer_name%2Ccustomer_phone%2Ctotal_amount%2Corder_type%2Cdelivery_address%2Ctable_number%2Ccreated_at&company_id=eq.00000000-0000-0000-0000-000000000001&status=eq.pending&order=created_at.asc&limit=20:0
[ 1907733ms] [ERROR] Failed to load resource: the server responded with a status of 400 () @ https://zqubwvhstobaugifzoyb.supabase.co/rest/v1/orders?select=id%2Cdisplay_code%2Ccustomer_name%2Ccustomer_phone%2Ctotal_amount%2Corder_type%2Cdelivery_address%2Ctable_number%2Ccreated_at&company_id=eq.00000000-0000-0000-0000-000000000001&status=eq.pending&order=created_at.asc&limit=20:0
[ 1917649ms] [ERROR] Failed to load resource: the server responded with a status of 400 () @ https://zqubwvhstobaugifzoyb.supabase.co/rest/v1/orders?select=id%2Cdisplay_code%2Ccustomer_name%2Ccustomer_phone%2Ctotal_amount%2Corder_type%2Cdelivery_address%2Ctable_number%2Ccreated_at&company_id=eq.00000000-0000-0000-0000-000000000001&status=eq.pending&order=created_at.asc&limit=20:0
[ 1927712ms] [ERROR] Failed to load resource: the server responded with a status of 400 () @ https://zqubwvhstobaugifzoyb.supabase.co/rest/v1/orders?select=id%2Cdisplay_code%2Ccustomer_name%2Ccustomer_phone%2Ctotal_amount%2Corder_type%2Cdelivery_address%2Ctable_number%2Ccreated_at&company_id=eq.00000000-0000-0000-0000-000000000001&status=eq.pending&order=created_at.asc&limit=20:0
[ 1937686ms] [ERROR] Failed to load resource: the server responded with a status of 400 () @ https://zqubwvhstobaugifzoyb.supabase.co/rest/v1/orders?select=id%2Cdisplay_code%2Ccustomer_name%2Ccustomer_phone%2Ctotal_amount%2Corder_type%2Cdelivery_address%2Ctable_number%2Ccreated_at&company_id=eq.00000000-0000-0000-0000-000000000001&status=eq.pending&order=created_at.asc&limit=20:0
[ 1947644ms] [ERROR] Failed to load resource: the server responded with a status of 400 () @ https://zqubwvhstobaugifzoyb.supabase.co/rest/v1/orders?select=id%2Cdisplay_code%2Ccustomer_name%2Ccustomer_phone%2Ctotal_amount%2Corder_type%2Cdelivery_address%2Ctable_number%2Ccreated_at&company_id=eq.00000000-0000-0000-0000-000000000001&status=eq.pending&order=created_at.asc&limit=20:0
[ 1957922ms] [ERROR] Failed to load resource: the server responded with a status of 400 () @ https://zqubwvhstobaugifzoyb.supabase.co/rest/v1/orders?select=id%2Cdisplay_code%2Ccustomer_name%2Ccustomer_phone%2Ctotal_amount%2Corder_type%2Cdelivery_address%2Ctable_number%2Ccreated_at&company_id=eq.00000000-0000-0000-0000-000000000001&status=eq.pending&order=created_at.asc&limit=20:0
[ 1967915ms] [ERROR] Failed to load resource: the server responded with a status of 400 () @ https://zqubwvhstobaugifzoyb.supabase.co/rest/v1/orders?select=id%2Cdisplay_code%2Ccustomer_name%2Ccustomer_phone%2Ctotal_amount%2Corder_type%2Cdelivery_address%2Ctable_number%2Ccreated_at&company_id=eq.00000000-0000-0000-0000-000000000001&status=eq.pending&order=created_at.asc&limit=20:0
[ 1977657ms] [ERROR] Failed to load resource: the server responded with a status of 400 () @ https://zqubwvhstobaugifzoyb.supabase.co/rest/v1/orders?select=id%2Cdisplay_code%2Ccustomer_name%2Ccustomer_phone%2Ctotal_amount%2Corder_type%2Cdelivery_address%2Ctable_number%2Ccreated_at&company_id=eq.00000000-0000-0000-0000-000000000001&status=eq.pending&order=created_at.asc&limit=20:0
[ 1987683ms] [ERROR] Failed to load resource: the server responded with a status of 400 () @ https://zqubwvhstobaugifzoyb.supabase.co/rest/v1/orders?select=id%2Cdisplay_code%2Ccustomer_name%2Ccustomer_phone%2Ctotal_amount%2Corder_type%2Cdelivery_address%2Ctable_number%2Ccreated_at&company_id=eq.00000000-0000-0000-0000-000000000001&status=eq.pending&order=created_at.asc&limit=20:0
[ 1997683ms] [ERROR] Failed to load resource: the server responded with a status of 400 () @ https://zqubwvhstobaugifzoyb.supabase.co/rest/v1/orders?select=id%2Cdisplay_code%2Ccustomer_name%2Ccustomer_phone%2Ctotal_amount%2Corder_type%2Cdelivery_address%2Ctable_number%2Ccreated_at&company_id=eq.00000000-0000-0000-0000-000000000001&status=eq.pending&order=created_at.asc&limit=20:0
[ 2007646ms] [ERROR] Failed to load resource: the server responded with a status of 400 () @ https://zqubwvhstobaugifzoyb.supabase.co/rest/v1/orders?select=id%2Cdisplay_code%2Ccustomer_name%2Ccustomer_phone%2Ctotal_amount%2Corder_type%2Cdelivery_address%2Ctable_number%2Ccreated_at&company_id=eq.00000000-0000-0000-0000-000000000001&status=eq.pending&order=created_at.asc&limit=20:0
[ 2017663ms] [ERROR] Failed to load resource: the server responded with a status of 400 () @ https://zqubwvhstobaugifzoyb.supabase.co/rest/v1/orders?select=id%2Cdisplay_code%2Ccustomer_name%2Ccustomer_phone%2Ctotal_amount%2Corder_type%2Cdelivery_address%2Ctable_number%2Ccreated_at&company_id=eq.00000000-0000-0000-0000-000000000001&status=eq.pending&order=created_at.asc&limit=20:0
[ 2027643ms] [ERROR] Failed to load resource: the server responded with a status of 400 () @ https://zqubwvhstobaugifzoyb.supabase.co/rest/v1/orders?select=id%2Cdisplay_code%2Ccustomer_name%2Ccustomer_phone%2Ctotal_amount%2Corder_type%2Cdelivery_address%2Ctable_number%2Ccreated_at&company_id=eq.00000000-0000-0000-0000-000000000001&status=eq.pending&order=created_at.asc&limit=20:0
[ 2037669ms] [ERROR] Failed to load resource: the server responded with a status of 400 () @ https://zqubwvhstobaugifzoyb.supabase.co/rest/v1/orders?select=id%2Cdisplay_code%2Ccustomer_name%2Ccustomer_phone%2Ctotal_amount%2Corder_type%2Cdelivery_address%2Ctable_number%2Ccreated_at&company_id=eq.00000000-0000-0000-0000-000000000001&status=eq.pending&order=created_at.asc&limit=20:0
[ 2047709ms] [ERROR] Failed to load resource: the server responded with a status of 400 () @ https://zqubwvhstobaugifzoyb.supabase.co/rest/v1/orders?select=id%2Cdisplay_code%2Ccustomer_name%2Ccustomer_phone%2Ctotal_amount%2Corder_type%2Cdelivery_address%2Ctable_number%2Ccreated_at&company_id=eq.00000000-0000-0000-0000-000000000001&status=eq.pending&order=created_at.asc&limit=20:0
